id,input_text,target_text
2267,go along with them,COTHEME(Cotheme('with them'))
2171,this is a table with a glass deck,"BEING_IN_CATEGORY(Item('this'), Category('a table with a glass deck'))"
2342,can you find me the butcher knife,"LOCATING(Perceiver('you'), Sought_entity('the butcher knife'))"
2430,there are two abat jour next to the bed and seven pillows,"BEING_LOCATED(Theme('two abat jour'), Location('next to the bed'), Theme('seven pillows'))"
2265,please go to the mirror,MOTION(Goal('to the mirror'))
2346,follow my friend into the living room,"COTHEME(Cotheme('my friend'), Goal('into the living room'))"
2405,please find the fruit,LOCATING(Sought_entity('the fruit'))
2259,please follow the person in front of you,COTHEME(Cotheme('the person in front of you'))
2418,could you please move the trash bin from the kitchen to the studio,"BRINGING(Agent('you'), Theme('the trash bin'), Source('from the kitchen'), Goal('to the studio'))"
2361,follow me to the bedroom,"COTHEME(Cotheme('me'), Goal('to the bedroom'))"
2426,there is a table in the center of the dining room,"BEING_LOCATED(Theme('a table'), Location('in the center of the dining room'))"
2295,can you go to the kitchen and bring me some bread from the pantry,"MOTION(Theme('you'), Goal('to the kitchen')) - BRINGING(Beneficiary('me'), Theme('some bread'), Source('from the pantry'))"
2339,follow the man closely,"COTHEME(Cotheme('the man'), Manner('closely'))"
2364,find the glasses on the table,"LOCATING(Sought_entity('the glasses'), Ground('on the table'))"
2256,move to the living room,MOTION(Goal('to the living room'))
2266,find me a cushion,LOCATING(Sought_entity('a cushion'))
2375,hey robot follow john everywhere he goes and keep the same pace as he has,"COTHEME(Cotheme('john'), Area('everywhere he goes'))"
2352,could you please move to the sink and open the cold water,"MOTION(Theme('you'), Goal('to the sink')) - CHANGE_OPERATIONAL_STATE(Device('the cold water'))"
2378,please enter the bathroom and go towards the sink on the left hand side,ARRIVING(Goal('the bathroom')) - MOTION(Goal('towards the sink on the left hand side'))
2394,robot please follow the postman,COTHEME(Cotheme('the postman'))
2189,follow me carefully,"COTHEME(Cotheme('me'), Manner('carefully'))"
2363,put the pillow under the bed,"PLACING(Theme('the pillow'), Goal('under the bed'))"
2350,you are in a very big bathroom,"BEING_LOCATED(Theme('you'), Location('in a very big bathroom'))"
2359,would you please follow me to the kitchen,"COTHEME(Theme('you'), Cotheme('me'), Goal('to the kitchen'))"
2419,disconnect from the laptop at the right of the counter,ATTACHING(Goal('from the laptop at the right of the counter'))
2283,please follow me,COTHEME(Cotheme('me'))
2178,can you find the refrigerator for me,"LOCATING(Perceiver('you'), Sought_entity('the refrigerator'))"
2182,can you please move near the right lamp,"MOTION(Theme('you'), Goal('near the right lamp'))"
2410,move near the television of the kitchen,MOTION(Goal('near the television of the kitchen'))
2293,go follow my sister around the house,"COTHEME(Cotheme('my sister'), Path('around the house'))"
2188,search for the lamp,LOCATING(Sought_entity('for the lamp'))
2278,could you please go to the door,"MOTION(Theme('you'), Goal('to the door'))"
2273,get the blue slippers from the bathroom,"TAKING(Theme('the blue slippers'), Source('from the bathroom'))"
2355,michael go to the kitchen and get me some water,"MOTION(Goal('to the kitchen')) - BRINGING(Beneficiary('me'), Theme('some water'))"
2285,could you find a glass in the dining room,"LOCATING(Perceiver('you'), Sought_entity('a glass'), Ground('in the dining room'))"
2288,go to the dining table,MOTION(Goal('to the dining table'))
2431,could you please check if the coffee is ready,"INSPECTING(Inspector('you'), Ground('the coffee'), Desired_state('is ready'))"
2307,this is a bathroom where the door is on the right,"BEING_IN_CATEGORY(Item('this'), Category('a bathroom where the door is on the right')) - BEING_LOCATED(Theme('the door'), Place('on the right'))"
2194,follow that person,COTHEME(Cotheme('that person'))
2254,this is a bed room,"BEING_IN_CATEGORY(Item('this'), Category('a bed room'))"
2412,deliver this message to the person in the living room,"BRINGING(Theme('this message'), Beneficiary('to the person in the living room'))"
2373,this is a bedroom with big double bed and two bedside tables,"BEING_IN_CATEGORY(Item('this'), Category('a bedroom with big double bed and two bedside tables'))"
2302,take the mug to the bedroom,"BRINGING(Theme('the mug'), Goal('to the bedroom'))"
2291,can you take the mug to the coffee table in the living room,"BRINGING(Agent('you'), Theme('the mug'), Goal('to the coffee table in the living room'))"
2369,follow the man in black,COTHEME(Cotheme('the man in black'))
2338,find the lamp in the living room,"LOCATING(Sought_entity('the lamp'), Ground('in the living room'))"
2200,there is some bread on the desk,"BEING_LOCATED(Theme('some bread'), Location('on the desk'))"
2415,go in front of the main door and open it,MOTION(Goal('in front of the main door')) - CLOSURE(Container_portal('it'))
2271,can you slowly follow my father,"COTHEME(Theme('you'), Manner('slowly'), Cotheme('my father'))"
2379,robot follow me slowly,"COTHEME(Cotheme('me'), Manner('slowly'))"
2187,drive to the fridge,MOTION(Goal('to the fridge'))
2349,find the red pillow,LOCATING(Sought_entity('the red pillow'))
2299,the sink is in the kitchen,"BEING_LOCATED(Theme('the sink'), Location('in the kitchen'))"
2371,put the coffee mug into the dishwasher,"PLACING(Theme('the coffee mug'), Goal('into the dishwasher'))"
2287,please move to the fridge,MOTION(Goal('to the fridge'))
2360,would you please bring me my phone from the bed room,"BRINGING(Agent('you'), Beneficiary('me'), Theme('my phone'), Source('from the bed room'))"
2416,grab the box on the left of the desktop,TAKING(Theme('the box on the left of the desktop'))
2192,the fridge is on your right side,"BEING_LOCATED(Theme('the fridge'), Location('on your right side'))"
2367,this is a double bedroom with four pictures on the wall,"BEING_IN_CATEGORY(Item('this'), Category('a double bedroom with four pictures on the wall'))"
2170,follow this guy,COTHEME(Cotheme('this guy'))
2397,robot go to the shower,MOTION(Goal('to the shower'))
2300,get my coat from the closet,"TAKING(Theme('my coat'), Source('from the closet'))"
2175,please carry the mug to the bathroom,"BRINGING(Theme('the mug'), Goal('to the bathroom'))"
2344,can you place the mug to the head of the table,"PLACING(Agent('you'), Theme('the mug'), Goal('to the head of the table'))"
2301,come with me,COTHEME(Cotheme('with me'))
2197,go to the bathroom,MOTION(Goal('to the bathroom'))
2268,please bring the mug to the bedroom,"BRINGING(Theme('the mug'), Goal('to the bedroom'))"
2173,carry the book to my nightstand,"BRINGING(Theme('the book'), Goal('to my nightstand'))"
2358,michael follow the guy with the red hoodie and the white shoes,COTHEME(Cotheme('the guy with the red hoodie and the white shoes'))
2292,can you go to the bathroom please,"MOTION(Theme('you'), Goal('to the bathroom'))"
2294,can you grab my wine glass from the dining room,"TAKING(Agent('you'), Theme('my wine glass'), Source('from the dining room'))"
2176,please find the lamp,LOCATING(Sought_entity('the lamp'))
2281,this is a very wide and bright livingroom,"BEING_IN_CATEGORY(Item('this'), Category('a very wide and bright livingroom'))"
2413,go to living room and turn on the tv,"MOTION(Goal('to living room')) - CHANGE_OPERATIONAL_STATE(Operational_state('on'), Device('the tv'))"
2409,go to the bathroom take the rag go to the hall and clean the mirror,MOTION(Goal('to the bathroom')) - TAKING(Theme('the rag')) - MOTION(Goal('to the hall'))
2248,carry the mug to the dining room,"BRINGING(Theme('the mug'), Goal('to the dining room'))"
2336,put the cell phone on the dining room table,"PLACING(Theme('the cell phone'), Goal('on the dining room table'))"
