id,prompt
139,"Meet Skyler at the bookcase, follow him, and lead him back"
140,"Tell me the gender of the person at the exit"
141,"Tell me the gender of the person at the dining table"
142,"Escort Charlie to the dishwasher, you can find him at the bookcase"
143,"Meet John at the bookcase and guide him to the dining table"
144,"Robot please pick up the tray from the sink and put it on the sink"
145,"Meet Mary at the couch and escort her to the exit"
146,"Tell me how many grape juice there are on the bookcase"
147,"Could you give me the object above the scrubby from the desk"
148,"Follow Robin from the entrance to the living room"
149,"Tell me how many people in the living room are standing"
150,"Tell me how many fruits there are on the counter"
151,"Find Mary at the bookcase and accompany her to her cab"
152,"Could you go to the sink, meet Charlie, and follow her"
153,"Navigate to the bedroom, locate a person sitting, and say the time"
154,"Meet Robin at the exit, follow him, and navigate to the kitchen"
155,"Robot please bring me the right most object from the desk"
156,"Tell me how many cloth there are on the storage table"
157,"Please Tell me how many bowl there are on the dining table"
158,"Could you please meet Francis at the desk and guide him to the sink"
159,"Could you please meet Robin at the entrance, follow him, and accompany him back"
160,"Could you please meet Francis at the bed, follow him, and take him back"
161,"Give me the left most object from the dining table"
162,"Take Skyler from the end table to the entrance"
163,"Could you follow Robin from the bookcase to the dining room"
164,"Could you meet Patricia at the bookcase, follow her, and escort her back"
165,"Please give drinks to everyone in the dining room."
166,"Robot please pick up the cloth from the dining table and bring it to me"
167,"Meet Francis at the sink and follow her"
168,"Give the noodles to the person raising their left arm in the dining room"
169,"Please meet Elizabeth at the dining table, follow her, and accompany her back"
170,"Please navigate to the entrance, meet Robin, and follow her"
171,"Guide Robin from the dishwasher to the end table"
172,"Robot please serve drinks to all the elders in the kitchen."
173,"Navigate to the bookcase, meet Robin, and guide her to the bed"
174,"Look for the fruits in the dining room"
175,"Tell me how many bowl there are on the side table"
176,"Robot please Tell me the pose of the person at the desk"
177,"Meet Michael at the sink, follow him, and accompany him back"
178,"Please guide Alex from the couch to the end table"
179,"Navigate to the sink, meet Robin, and accompany him to the desk"
180,"Navigate to the dishwasher, meet Elizabeth, and accompany her"
181,"Contact Alex at the desk and ask him to leave"
182,"Could you please go to the exit, meet Robin, and lead him to the dining table"
183,"Please give me the right most object from the side table"
184,"Take the tray from the bookcase and place it on the cupboard"
185,"Could you follow Alex"
186,"Bring me the fruits"
187,"Could you please meet John at the desk, follow him, and go to the kitchen"
188,"Please Tell me what's the lightest tableware on the end table"
189,"The kitchen"
190,"Dump the litter"
191,"Navigate to the couch, meet Francis, and follow him"
192,"Follow Alex from the couch to the living room"
193,"Could you please meet Francis at the entrance and follow her to the living room"
194,"Escort Linda to the bed"
195,"Meet John at the dishwasher, follow him, and navigate to the dining room"
196,"Could you please pick up the cloth and put it on the sink"
197,"Could you take Michael to the sink"
198,"Escort Alex from the bed to the entrance"
199,"Could you please locate the food in the living room"
200,"Go to the couch, meet Charlie, and guide him to the exit"
201,"Tell me the pose of the person in the dining room"
202,"Meet Jennifer at the entrance, follow her, and go to the dining room"
203,"Could you meet John at the couch, follow him, and go to the living room"
204,"Tell me how many people in the corridor are sitting"
205,"Please take Alex to the dishwasher, you may find him at the sink"
206,"Bring me the cloth"
207,"Give me the left most object from the end table"
208,"Could you put the cloth on the end table"
209,"Look for the bowl in the bedroom"
210,"Say something about yourself to the person raising their left arm in the living room"
211,"Could you please meet Francis and escort him"
212,"Could you please Tell me the gender of the person in the bedroom"
213,"Follow Charlie from the exit to the bedroom"
214,"Look for the fruits in the corridor"
215,"Could you please follow Robert from the dishwasher to the bedroom"
216,"Bring me the thinnest object from the dining table"
217,"Face Jennifer at the rear entrance and introduce her to all the elders in the living room."
218,"Please bring me the apple from the storage table"
219,"Please meet Charlie at the bed, follow him, and go to the bedroom"
220,"Give me the tray"
221,"Look for a person raising their right arm in the corridor and tell your team's affiliation"
222,"Look for the cutlery in the kitchen"
223,"Could you please guide Robin to the couch, you will find her at the entrance"
224,"Robot please place the grape juice on the dining table"
225,"Please navigate to the bookcase, meet Mary, and follow her"
226,"Could you please navigate to the desk, meet William, and lead him"
227,"Deliver fruits to the person pointing to the left in the dining room"
228,"Could you go to the entrance, meet Alex, and follow him"
229,"Please go to the exit, meet Francis, and escort her to the sink"
230,"Could you follow Linda from the sink to the bedroom"
231,"Robot please go to the bedroom, find a person pointing to the left, and say what day is tomorrow"
232,"Could you please go to the entrance, meet Francis, and follow her"
233,"Take the bowl from the sink and give it to me"
234,"Bring the grape juice to the cupboard"
235,"Please navigate to the couch, meet Skyler, and follow her"
236,"The dining room"
237,"Locate three tableware in the dining room"
238,"Meet John at the end table, follow him, and lead him back"
239,"Provide snacks to all the women in the kitchen."
240,"Could you dump the debris"
241,"Look for the bowl in the bedroom"
242,"Tell me the pose of the person in the living room"
243,"Navigate to the bookcase, meet Robin, and follow him"
244,"Meet Charlie at the desk, follow him, and guide him back"
245,"Robot please meet Linda at the bed and follow her"
246,"Meet John at the sink, follow him, and escort him back"
247,"Bring me the right most object from the side table"
248,"Could you Tell me the name of the person in the living room"
249,"Robot please go to the sink, meet Robin, and follow him"
250,"Tell me which are the three smallest tableware on the dining table"
251,"Robot please look for the bowl in the dining room"
252,"Give me the left most object from the cupboard"
253,"Please go to the end table, meet Charlie, and escort her to the couch"
254,"Please the corridor"
255,"Find the cleaning stuff in the bedroom"
256,"Could you put the bowl on the dining table"
257,"Meet Elizabeth at the entrance, follow her, and go to the dining room"
258,"Give me the drinks"
259,"Dump the litter"
260,"Give me the drinks"
261,"The bedroom"
262,"Bring me the drinks"
263,"Could you follow Michael"
264,"Robot please Tell me how many cutlery there are on the counter"
265,"Tell me the gender of the person at the sink"
266,"Meet Jennifer at the dishwasher, follow her, and accompany her back"
267,"Locate the tray in the living room"
268,"Meet Francis at the dining table and follow her to the corridor"
269,"Lead Robert to the desk, you may find him at the bed"
270,"Find a person waving in the corridor and answer a question"
271,"Bring me the bowl"
272,"Navigate to the bookcase, meet Robert, and accompany him"
273,"Pick up the sausages from the bookcase and place it on the counter"
274,"Could you please escort Elizabeth from the couch to the desk"
275,"Could you tell me how many people in the corridor are boys"
276,"Could you please Tell me what's the lightest tableware on the desk"
277,"Give me the paprika from the bookcase"
278,"Please go to the dining table, meet Charlie, and escort her"
279,"Take the cloth from the cupboard and place it on the side table"
280,"Please bring me the fruits"
281,"Look for the tray in the bedroom"
282,"Robot please find the fruits in the kitchen"
283,"Please meet Michael at the bookcase, follow him, and go to the bedroom"
284,"Guide Alex from the end table to the sink"
285,"Could you face Linda at the end table and escort her to her cab"
286,"Could you please follow Michael from the entrance to the living room"
287,"Meet Robin and lead her"
288,"Get the apple and place it on the dining table"
289,"Locate three drinks in the living room"
290,"Robot please the living room"
291,"Meet Skyler at the bookcase and follow her to the living room"
292,"Escort William from the bed to the dining table"
293,"Arrange snacks to everyone in the dining room."
294,"Go to the dining table, meet Alex, and escort her to the bookcase"
295,"Meet Skyler at the dining table, follow her, and lead her back"
296,"Take the noodles and put it on the cupboard"
297,"Meet Elizabeth at the end table and follow her to the living room"
298,"Robot please bring me the object on top of the sponge from the end table"
299,"Please give me the right most object from the desk"
300,"Give snacks to everyone in the living room."
301,"Tell me how many snacks there are on the storage table"
302,"Could you go to the corridor, locate a person pointing to the right, and say your team's country"
303,"Robot please go to the entrance, meet Elizabeth, and accompany her to the bed"
304,"Could you please locate three snacks in the kitchen"
305,"Go to the couch, meet Elizabeth, and follow her"
306,"Take the bowl and place it on the side table"
307,"Greet Robert at the rear door and introduce him to everyone in the bedroom."
308,"Could you please meet Francis at the desk, follow him, and navigate to the dining room"
309,"Lead Michael from the bed to the exit"
310,"Could you please meet James at the dishwasher and follow him"
311,"Could you please meet Elizabeth at the sink, follow her, and lead her back"
312,"Robot please tell me which are the three heaviest objects on the dining table"
313,"Could you lead Jennifer from the couch to the desk"
314,"Escort Robin to the end table, you can find her at the end table"
315,"Please bring the grape juice to the counter"
316,"Tell me how many people in the living room are lying down"
317,"Please meet Francis at the desk, follow him, and lead him back"
318,"Meet Michael at the sink and follow him"
319,"Could you please find Jennifer at the dishwasher and introduce it to Robin at the sink"
320,"Please bring me the right most object from the sink"
321,"Please tell me how many people in the bedroom are male"
322,"Could you dump the waste"
323,"Navigate to the sink, meet Francis, and take him to the dining table"
324,"Guide Patricia from the dishwasher to the bookcase"
325,"Could you please Tell me the name of the person at the couch"
326,"Could you meet Alex at the entrance, follow her, and accompany her back"
327,"Could you please meet Francis at the end table, follow her, and navigate to the kitchen"
328,"Tell me how many food there are on the counter"
329,"Could you Tell me the pose of the person in the corridor"
330,"Please meet Francis at the desk and follow him to the dining room"
331,"Robot please meet Michael at the bed and follow him to the dining room"
332,"Please find Charlie at the bed and escort him to his cab"
333,"Face Jennifer at the end table and lead her to her uber"
334,"Take the cloth from the desk and place it on the counter"
335,"Go to the entrance, meet Skyler, and follow him"
336,"Follow John from the entrance to the corridor"
337,"Robot please escort Jennifer to the exit"
338,"Take the cloth from the desk and give it to me"
339,"Please tell me which are the three largest objects on the desk"
340,"Meet Robin at the bed, follow her, and guide her back"
341,"Tell the day of the month to the person pointing to the right in the kitchen"
342,"Please contact Michael at the entrance and introduce it to Elizabeth at the bed"
343,"Navigate to the exit, meet Jennifer, and follow her"
344,"Navigate to the dining table, meet Skyler, and guide her to the bed"
345,"Meet Jennifer at the entrance, follow her, and take her back"
346,"Could you greet Alex at the front door and introduce her to all the children in the bedroom."
347,"Could you escort Alex to the sink"
348,"Serve drinks to everyone in the living room."
349,"Go to the desk, meet John, and follow him"
350,"Bring me the biggest object from the end table"
351,"Could you Tell me the gender of the person in the corridor"
352,"Deliver snacks to all the women in the dining room."
353,"Take the spoon to the cupboard"
354,"Face James at the bed and introduce it to Mary at the entrance"
355,"Take the orange juice to the storage table"
356,"Robot please look for three fruits in the dining room"
357,"Meet Robin at the desk and follow him"
358,"Distribute drinks to all the children in the living room."
359,"Could you greet Elizabeth at the main entrance and introduce her to all the women in the bedroom."
360,"Serve snacks to everyone in the bedroom."
361,"Could you tell me which are the three lightest objects on the end table"
362,"Meet James at the bookcase, follow him, and accompany him back"
363,"Accompany James from the sink to the dining table"
364,"Lead Mary to the bed"
365,"Find the fruits in the living room"
366,"Get the bowl from the end table and bring it to Jennifer at the exit"
367,"Please contact John at the sink and take him to his uber"
368,"Robot please escort Jennifer from the bookcase to the exit"
369,"Greet Patricia at the couch and escort her to her taxi"
370,"Deliver fruits to the person raising their left arm in the living room"
371,"Bring me the paprika from the desk"
372,"Meet James at the bed, follow him, and go to the kitchen"
373,"Robot please meet Francis at the dining table and accompany him to the dishwasher"
374,"Take the apple from the kitchen to the counter"
375,"Accompany Robert to the dining table, you will find him at the couch"
376,"Please Tell me the gender of the person at the couch"
377,"Accompany Alex to the entrance, you can find her at the bed"
378,"Please Tell me the name of the person at the end table"
379,"Navigate to the bed, meet Robin, and follow him"
380,"Please provide snacks to all the men in the kitchen."
381,"The bedroom"
382,"Meet Francis at the bed, follow her, and escort her back"
383,"Locate three snacks in the dining room"
384,"Could you please give me the lightest object from the sink"
385,"Robot please dump the debris"
386,"Robot please face Robin at the bed and introduce it to Patricia at the sink"
387,"Lead Francis to the bed, you can find her at the entrance"
388,"Go to the bed, meet Robin, and follow her"
389,"Could you please bring me the biggest object from the sink"
390,"Robot please lead Francis to the exit"
391,"Navigate to the end table, meet Michael, and accompany him to the bed"
392,"Distribute drinks to all the elders in the dining room."
393,"Take out the waste"
394,"Could you contact John at the rear door and introduce him to all the guests in the living room."
395,"Follow Linda from the exit to the living room"
396,"Take the spoon to the storage table"
397,"Look for a person lying down in the bedroom and answer a question"
398,"Meet Alex at the desk and escort him to the entrance"
399,"Meet Robin at the exit and lead her to the end table"
400,"Take Robin to the dining table"
401,"Could you please say a joke to the person pointing to the right in the bedroom"
402,"Could you meet Mary at the exit, follow her, and accompany her back"
403,"Could you please meet Patricia at the sink, follow her, and go to the living room"
404,"Meet Charlie at the entrance, follow him, and go to the kitchen"
405,"Tell me which are the three smallest objects on the sink"
406,"Could you please navigate to the bedroom, look for a person lying down, and say the day of the month"
407,"Follow Charlie from the bed to the dining room"
408,"Please look for a girl in the dining room and answer a question"
409,"Could you meet James at the entrance, follow him, and navigate to the corridor"
410,"Could you please meet Alex and escort her"
411,"Could you please look for the cloth in the kitchen"
412,"Could you put the sponge on the side table"
413,"Take out the junk"
414,"Accompany Mary from the end table to the dining table"
415,"Follow James"
416,"Could you please contact Michael at the sink and take him to his uber"
417,"Give me the left most object from the end table"
418,"Go to the sink, meet James, and lead him to the entrance"
419,"Grasp the bowl from the desk and deliver it to me"
420,"Could you Tell me the name of the person in the kitchen"
421,"Could you meet Patricia at the dishwasher and take her to the sink"
422,"Put the apple on the sink"
423,"Bring me the tableware"
424,"Could you please tell me how many people in the kitchen are sitting"
425,"Robot please bring the crackers to the desk"
426,"Meet Robin at the bed and follow her to the kitchen"
427,"Please Tell me what's the lightest snacks on the cupboard"
428,"Please navigate to the couch, meet Mary, and lead her"
429,"Could you meet James at the dining table, follow him, and guide him back"
430,"Could you meet Mary at the bed and follow her to the kitchen"
431,"Could you please follow Elizabeth"
432,"Bring me the cloth"
433,"The dining room"
434,"Could you follow Alex from the desk to the corridor"
435,"Navigate to the entrance, meet Jennifer, and accompany her"
436,"Look for a male person in the living room and say something about yourself"
437,"Could you meet Michael at the desk and guide him to the bed"
438,"Could you navigate to the end table, meet John, and take him to the sink"
439,"Robot please meet Charlie at the sink, follow her, and go to the corridor"
440,"Meet Robin at the couch, follow him, and guide him back"
441,"Look for a male person in the corridor and answer a question"
442,"Tell me the name of the person at the end table"
443,"Could you take out the garbage"
444,"Give drinks to everyone in the bedroom."
445,"Could you Tell me what's the heaviest object on the dining table"
446,"Robot please bring snacks to me"
447,"Could you please find a person waving in the corridor and tell a joke"
448,"Robot please follow Francis from the exit to the bedroom"
449,"Tell me the name of the person in the corridor"
450,"Meet John at the sink, follow him, and navigate to the dining room"
451,"Please meet Robert at the sink, follow him, and go to the corridor"
452,"Could you please follow John from the dishwasher to the corridor"
453,"Look for a person sitting in the kitchen and say something about yourself"
454,"Take my valise to the cab"
455,"Bring me the object on top of the crackers from the counter"
456,"Go to the bookcase, meet John, and accompany him"
457,"Could you serve drinks to everyone in the corridor."
458,"Find John at the sink and introduce it to Robin at the exit"
459,"Go to the sink, meet Skyler, and follow him"
460,"Meet Alex at the couch and follow her to the corridor"
461,"Could you please find the drinks in the living room"
462,"Meet Francis at the sink, follow him, and go to the dining room"
463,"Could you please find Charlie at the sink and lead him to his uber"
464,"Take out the garbage"
465,"Locate a person pointing to the right in the corridor and answer a question"
466,"Find Robin at the desk and ask him to leave"
467,"Robot please locate the coke in the dining room"
468,"The dining room"
469,"Robot please find three food in the corridor"
470,"Could you bring me the smallest object from the storage table"
471,"Could you tell me how many people in the corridor are women"
472,"Please greet Alex at the front door and introduce her to all the people in the living room."
473,"Go to the sink, meet Alex, and guide him to the sink"
474,"Navigate to the exit, meet William, and accompany him to the sink"
475,"Tell me which are the three smallest snacks on the end table"
476,"Tell me the name of the person at the end table"
477,"Robot please meet James at the bookcase, follow him, and escort him back"
478,"Tell me the gender of the person in the kitchen"
479,"Guide Linda from the sink to the bed"
480,"Give me the paprika from the side table"
481,"Dump the garbage"
482,"Could you contact Michael at the rear door and introduce him to everyone in the kitchen."
483,"Bring the dish to the dining table"
484,"Give me the left most object from the storage table"
485,"Place the cloth on the bookcase"
486,"Meet Charlie at the bookcase, follow her, and navigate to the bedroom"
487,"Please find three fruits in the dining room"
488,"Tell me how many people in the kitchen are standing"
489,"Bring me the left most object from the end table"
490,"Could you place the tray on the storage table"
491,"Please Tell me how many fruits there are on the dining table"
492,"Could you distribute snacks to everyone in the dining room."
493,"Meet Patricia and guide her"
494,"Bring me the apple from the desk"
495,"Robot please contact Charlie at the back entrance and introduce her to all the women in the kitchen."
496,"Go to the kitchen, look for a female person, and answer a question"
497,"Give me the right most object from the storage table"
498,"Go to the end table, meet Francis, and guide her to the sink"
499,"Answer a question to the person waving in the dining room"
500,"Could you please bring me the cleaning stuff"
501,"Guide James from the couch to the bookcase"
502,"Meet Linda at the couch, follow her, and go to the dining room"
503,"Navigate to the desk, meet Alex, and follow her"
504,"Robot please tell me which are the three biggest objects on the cupboard"
505,"Greet William at the desk and introduce it to Charlie at the end table"
506,"Tell me the gender of the person in the living room"
507,"Face Francis at the dishwasher and guide her to her uber"
508,"Bring the noodles to the side table"
509,"Please give me the orange from the end table"
510,"Please bring me the paprika"
511,"Escort Skyler from the end table to the dining table"
512,"Could you please deliver the cloth to the person pointing to the left in the kitchen"
513,"Tell me how many people in the kitchen are men"
514,"Could you go to the sink, meet Francis, and follow him"
515,"Could you please Tell me the gender of the person in the corridor"
516,"Greet Robin at the bed and escort him to his uber"
517,"Bring me the biggest object from the bookcase"
518,"Deliver drinks to all the guests in the corridor."
519,"Please navigate to the bookcase, meet Robin, and escort him"
520,"Robot please find the snacks in the corridor"
521,"Face Charlie at the sink and take him to his taxi"
522,"Tell me what's the smallest tableware on the end table"
523,"The corridor"
524,"Please take the bowl from the desk and deliver it to me"
525,"Meet James at the dining table and follow him"
526,"Give me the right most object from the sink"
527,"Get the tray from the cupboard and place it on the cupboard"
528,"Bring me the object above the cereal from the dining table"
529,"Robot please Tell me how many cleaning stuff there are on the cupboard"
530,"Find Patricia at the desk and introduce it to Linda at the bookcase"
531,"Contact Robert at the sink and ask him to leave"
532,"Tell me how many people in the corridor are boys"
533,"Robot please meet Francis at the dining table and follow him"
534,"Could you please go to the dishwasher, meet Linda, and take her to the bookcase"
535,"Go to the bedroom, look for a person standing, and tell what day is tomorrow"
536,"Robot please go to the dishwasher, meet Francis, and follow him"
537,"Deliver fruits to me"
538,"Go to the dishwasher, meet Robert, and follow him"
539,"Tell me how many people in the corridor are standing"
540,"Meet Francis at the bed, follow her, and lead her back"
541,"Navigate to the bed, meet William, and take him to the sink"
542,"Take Patricia from the dining table to the dining table"
543,"Meet Skyler at the couch, follow her, and escort her back"
544,"Follow James from the exit to the living room"
545,"Meet James at the couch, follow him, and escort him back"
546,"Tell what day is today to the person raising their left arm in the bedroom"
547,"Take William to the dining table"
548,"Could you navigate to the counter, locate the cloth, and bring it to Linda at the dishwasher"
549,"Guide William to the desk, you may find him at the dishwasher"
550,"Robot please contact Linda at the bookcase and accompany her to her uber"
551,"Give me the largest object from the counter"
552,"Please meet Robin at the sink and accompany him to the desk"
553,"Please guide Alex from the desk to the end table"
554,"Go to the sink, look for the cloth, and put it on the desk"
555,"Meet Linda at the end table and follow her to the dining room"
556,"Please greet Linda at the desk and accompany her to her taxi"
557,"Could you meet Charlie at the bed and accompany him to the dishwasher"
558,"Could you please tell me which are the three lightest tableware on the cupboard"
559,"Robot please bring the cloth to me"
560,"Meet Robin at the bookcase, follow her, and accompany her back"
561,"Give me the potato chips"
562,"Please accompany Alex to the dining table, you can find him at the couch"
563,"Bring me the largest object from the end table"
564,"Locate a female person in the living room and answer a question"
565,"Follow Linda from the dining table to the bedroom"
566,"Take the tray from the end table and put it on the cupboard"
567,"Could you Tell me what's the biggest fruits on the counter"
568,"Bring the fork to the cupboard"
569,"Could you please look for the tray in the kitchen"
570,"Tell me how many fruits there are on the storage table"
571,"Meet Charlie at the desk, follow her, and take her back"
572,"Take out the debris"
573,"Face Skyler at the dining table and introduce it to Charlie at the sink"
574,"Tell me how many people in the bedroom are male"
575,"Answer a question to the person raising their left arm in the bedroom"
576,"Escort Francis from the couch to the end table"
577,"Face Skyler at the end table and accompany her to her taxi"
578,"Robot please go to the bedroom, look for a person pointing to the right, and answer a question"
579,"Look for three tableware in the kitchen"
580,"The kitchen"
581,"Accompany Robin from the dishwasher to the dining table"
582,"Place the bowl on the counter"
583,"Give me the biggest object from the side table"
584,"Could you please Tell me the gender of the person at the sink"
585,"Go to the exit, meet Skyler, and escort him to the bookcase"
586,"Provide drinks to everyone in the bedroom."
587,"Meet James at the couch, follow him, and navigate to the kitchen"
588,"Please look for three tableware in the bedroom"
589,"Meet Robert at the dining table, follow him, and go to the dining room"
590,"Could you please navigate to the sink, meet Linda, and accompany her"
591,"Find John at the sink and ask him to leave"
592,"Robot please greet William at the main entrance and introduce him to everyone in the kitchen."
593,"Tell me the name of the person in the kitchen"
594,"Could you please meet Robin and escort him"
595,"Get the orange and place it on the bookcase"
596,"Robot please meet Alex at the end table and guide him to the end table"
597,"Robot please lead Alex from the desk to the end table"
598,"Robot please Tell me the pose of the person in the living room"
599,"Could you meet Michael at the dishwasher, follow him, and navigate to the living room"
600,"Robot please locate a person pointing to the right in the living room and answer a question"
601,"Go to the sink, meet John, and follow him"
602,"Tell me how many tableware there are on the bookcase"
603,"Contact Elizabeth at the front entrance and introduce her to everyone in the kitchen."
604,"Contact Alex at the bookcase and introduce it to Robin at the exit"
605,"Bring me the fruits"
606,"Could you take the bowl and place it on the cupboard"
607,"Please locate the coke in the corridor"
608,"Navigate to the bookcase, locate the bowl, and give it to me"
609,"Bring the bowl to the bookcase"
610,"Face Charlie at the dishwasher and guide her to her uber"
611,"Could you Tell me the name of the person in the living room"
612,"Robot please take Robin to the exit, you may find him at the dishwasher"
613,"Robot please navigate to the desk, meet Elizabeth, and follow her"
614,"Could you please bring me the left most object from the sink"
615,"Tell me what's the thinnest object on the sink"
616,"Provide snacks to all the guests in the kitchen."
617,"Could you go to the desk, meet Robin, and follow him"
618,"Could you give me the object at the right of the apple from the desk"
619,"Give me the orange from the desk"
620,"Please meet Francis at the sink, follow her, and lead her back"
621,"Take the tray from the counter and place it on the cupboard"
622,"Find a person raising their left arm in the dining room and tell a joke"
